Client_Pole_ID,ROAMES_Pole_ID,Last_Capture_Timestamp,name,altitudeMode,WKT
S481566,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18598612,absolute,"LINESTRING Z (115.4304779569774 -28.24593630690048 229.63, 115.4304779569774 -28.24593630690048 240.672)"
S481563,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18598620,absolute,"LINESTRING Z (115.42665489005543 -28.251705432794218 228.76, 115.42665502424352 -28.25170601194382 239.011)"
S481564,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18598638,absolute,"LINESTRING Z (115.42800378262109 -28.249676134183975 229.28, 115.42800378262109 -28.249676134183975 238.666)"
S481549,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18598682,absolute,"LINESTRING Z (115.42259518362012 -28.257827417483043 227.88, 115.42259383205709 -28.257827140154102 237.87)"
S481505,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18605047,absolute,"LINESTRING Z (115.4168944770496 -28.270652715625907 227.59, 115.41689780696521 -28.2706543335962 237.284)"
S481539,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18605048,absolute,"LINESTRING Z (115.42125146563828 -28.25984469297871 227.76, 115.42125164309677 -28.259845101156426 237.063)"
S481516,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18605069,absolute,"LINESTRING Z (115.41689530169326 -28.26641443561869 228.38, 115.41689495903752 -28.266414169922076 239.064)"
S481517,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18605070,absolute,"LINESTRING Z (115.41767373531975 -28.265237690510126 227.75, 115.41767528767004 -28.265237491888385 237.76)"
S481533,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18605092,absolute,"LINESTRING Z (115.41850864987099 -28.26398801294052 227.3, 115.41850559137374 -28.263987354809302 237.387)"
S481534,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18605096,absolute,"LINESTRING Z (115.41988399350711 -28.26190016133299 227.01, 115.41988399333124 -28.261902246116474 237.629)"
S481510,,Sep  3 2021  1:33AM,ROAMES Pole Id: 18605098,absolute,"LINESTRING Z (115.41689297363003 -28.268556355464494 228.17, 115.41689243801213 -28.268554661576843 238.385)"
S481486,,Sep  3 2021  1:37AM,ROAMES Pole Id: 18605038,absolute,"LINESTRING Z (115.41689574609079 -28.27310052499614 227.72, 115.41689515540644 -28.27309979614832 237.248)"
S481520,,Sep  3 2021  1:37AM,ROAMES Pole Id: 18605084,absolute,"LINESTRING Z (115.41770797802279 -28.273841775455235 226.81, 115.41770817008175 -28.273841885980346 235.997)"
S485357,,Sep  3 2021  1:40AM,ROAMES Pole Id: 18598585,absolute,"LINESTRING Z (115.46854686462366 -28.356300801839314 239.61, 115.46854676812092 -28.356298995746283 249.28)"
S485358,,Sep  3 2021  1:40AM,ROAMES Pole Id: 18598586,absolute,"LINESTRING Z (115.47015765330013 -28.355669732135777 236.69, 115.47015840126734 -28.355666662986575 247.512)"
S485355,,Sep  3 2021  1:40AM,ROAMES Pole Id: 18598605,absolute,"LINESTRING Z (115.46742430305804 -28.354907780310118 238.65, 115.46742479832504 -28.354903841932867 248.504)"
S485348,,Sep  3 2021  1:40AM,ROAMES Pole Id: 18598711,absolute,"LINESTRING Z (115.46557813860242 -28.355769105096442 241.81, 115.4655807571056 -28.35576863818891 252.541)"
S485349,,Sep  3 2021  1:40AM,ROAMES Pole Id: 18598720,absolute,"LINESTRING Z (115.4659262959962 -28.35732764905617 244.35, 115.46592865437655 -28.357326827239625 255.297)"
S482844,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598613,absolute,"LINESTRING Z (115.51979636837713 -28.306336508961675 271.72, 115.51979684127447 -28.30633623430795 282.107)"
S482843,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598614,absolute,"LINESTRING Z (115.51984125748221 -28.304497275741326 268.19, 115.51984125776193 -28.30449872880584 277.937)"
S482845,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598639,absolute,"LINESTRING Z (115.51973926682534 -28.30858614849565 275.83, 115.51973961132711 -28.308583363438476 286.17)"
S482833,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598683,absolute,"LINESTRING Z (115.51931607903401 -28.324714762611595 281.81, 115.51931500174737 -28.32471522023091 291.951)"
S482832,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598684,absolute,"LINESTRING Z (115.51937983509478 -28.322356104237986 282.31, 115.51937884954366 -28.322355831812565 292.443)"
S482816,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598699,absolute,"LINESTRING Z (115.51916277150988 -28.33040643645013 280.71, 115.51916017133145 -28.33040416997759 290.969)"
S482834,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598705,absolute,"LINESTRING Z (115.51925081100623 -28.3270290629143 280.39, 115.51925380055937 -28.327027515951542 290.813)"
S482835,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598706,absolute,"LINESTRING Z (115.51919734353669 -28.328977383444048 280.28, 115.51920145209128 -28.328977527316535 290.489)"
S482830,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598715,absolute,"LINESTRING Z (115.51950152734602 -28.317699208705797 289.69, 115.51950135522623 -28.31769764547717 299.8)"
S482831,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598716,absolute,"LINESTRING Z (115.51944242312076 -28.319981990196403 285.82, 115.51943933834065 -28.319980855650527 295.487)"
S482848,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598717,absolute,"LINESTRING Z (115.51962143346222 -28.313177163259883 283.4, 115.51962341534554 -28.31317765406905 293.74)"
S482846,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598718,absolute,"LINESTRING Z (115.51968089142586 -28.31090386870521 277.93, 115.51967835994293 -28.310901828624417 287.887)"
S482817,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598721,absolute,"LINESTRING Z (115.5209411496368 -28.33040600889983 283.58, 115.52094207812223 -28.330405251824573 293.6)"
S482850,,Sep  3 2021  1:43AM,ROAMES Pole Id: 18598736,absolute,"LINESTRING Z (115.51956143758507 -28.315425622819333 288.25, 115.51956333709218 -28.31542396473613 298.531)"
